Title,Note,URL,Comment
Open House Central Embassy,"Coworking space at the top floor of a mall that has a bookstore concept, very vibey, bathed in sunlight, and trendy, with lots of cafe options. The playlist they use is great",https://www.google.com/maps/place/Open+House+Central+Embassy/data=!4m2!3m1!1s0x30e29edc9877cffd:0xe591f3041acc4ae9,
Baan Kuay Tiew Ruathong,"Really good boat noodles, the noodles are well cooked. It’s one of those places that gets better the busier it gets because every bowl is made to order",https://www.google.com/maps/place/Baan+Kuay+Tiew+Ruathong/data=!4m2!3m1!1s0x30e29eb0601aa3e3:0x8c31c0b08db10262,
บังดี ไก่ทอดหาดใหญ่,"Hat yai fried chicken from a hat yai family. The chicken is slightly sweet because they use palm sugar in the marinade. Takeaway only, but nearby stalls have tables. Buy something from them to pair with the chicken and grab a seat. 

Hella local, just a neighborhood street market",https://www.google.com/maps/place/%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B8%94%E0%B8%B5+%E0%B9%84%E0%B8%81%E0%B9%88%E0%B8%97%E0%B8%AD%E0%B8%94%E0%B8%AB%E0%B8%B2%E0%B8%94%E0%B9%83%E0%B8%AB%E0%B8%8D%E0%B9%88/data=!4m2!3m1!1s0x30e29f8f0aed6dcd:0xfc2f9aea69fc6aa2,
Tichuca Rooftop Bar,,https://www.google.com/maps/place/Tichuca+Rooftop+Bar/data=!4m2!3m1!1s0x30e29f14cf2c763d:0x2bfed307b9e5a4be,
On Lok Yun,Old school simple Singaporean breakfast. They do a set with soft boiled eggs and meats,https://www.google.com/maps/place/On+Lok+Yun/data=!4m2!3m1!1s0x30e299fed0dd26dd:0x663efac170fe5375,
Elfegne,,https://www.google.com/maps/place/Elfegne/data=!4m2!3m1!1s0x89b7b76cb205b299:0x2cf229a7be8842f3,
Randi's Grill & Pub,"Irish pub with deadhead owner, great apres vibes",https://www.google.com/maps/place/Randi's+Grill+%26+Pub/data=!4m2!3m1!1s0x876a34cdbeaaa9cd:0x8abee11923c273bb,
"Brasserie ""Favorite""",Kazakhstani and Georgian food in the middle of Luxeumburg of all places. Highlight is horse meat noodles.,https://www.google.com/maps/place/Brasserie+%22Favorite%22/data=!4m2!3m1!1s0x47954926e18ab783:0xcf6f26d7ba72f6cb,
Southside Parlor,,https://www.google.com/maps/place/Southside+Parlor/data=!4m2!3m1!1s0x357ca2486fdb9b5d:0x327dd8c0a4142375,
Sesame Hushijia,Desert soups: Seasame paste is what they're known for,https://www.google.com/maps/place/Sesame+Hushijia/data=!4m2!3m1!1s0x3402f8f1e491dc55:0xf89fed5ccd3e5601,
Dayang Coconut Chicken Shop大洋椰子鸡汤,"An acquired taste, but a unique Guangzhou delicacy. Black chicken cooked in coconut water, served in a coconut",https://www.google.com/maps/place/Dayang+Coconut+Chicken+Shop%E5%A4%A7%E6%B4%8B%E6%A4%B0%E5%AD%90%E9%B8%A1%E6%B1%A4/data=!4m2!3m1!1s0x3402f8c7cf3efb41:0xf8db7ba7b4d55f41,
Midori Music Bar,"Live music, cool kids hangout",https://www.google.com/maps/place/Midori+Music+Bar/data=!4m2!3m1!1s0x30e29fadb2af90e3:0xab30447d4c863a0c,
Diandude,Local dim sum institution,https://www.google.com/maps/place/Diandude/data=!4m2!3m1!1s0x3402f8c155f1a5cb:0xeba9e54ca5b3066a,
Taotaoju,Best dim sum of my life. So good despite being a successful chain at this point. Local institution,https://www.google.com/maps/place/Taotaoju/data=!4m2!3m1!1s0x3402f8b8c57ee8ff:0xb42ed6731bfcb5c6,
Che Muai Mi Wan,Street vendor cooking tang shui and other Chinese deserts. The tang yuan in ginger soup is reaaaal gingery,https://www.google.com/maps/place/Che+Muai+Mi+Wan/data=!4m2!3m1!1s0x30e29921f3abb2f3:0xfe2c86068ae9c909,
Nai Mong Hoi Thod,"Legendary oyster omelette, known for their unique crispy version. Also get their smoked duck breast",https://www.google.com/maps/place/Nai+Mong+Hoi+Thod/data=!4m2!3m1!1s0x30e29923c5c9bd6f:0xb1ac821cce78091e,
Kimpo Khao Tom Pla @Thanon Banthat Thong,Grouper Fish Porridge and Oyster Salad,https://www.google.com/maps/place/Kimpo+Khao+Tom+Pla+@Thanon+Banthat+Thong/data=!4m2!3m1!1s0x30e299812de1fae1:0xebd6ace6cefa3da2,
